Länsi-Turunmaa Parainen Lenholm Mattholmsfladan,60.24180,22.20711
Länsi-Turunmaa Parainen Petteby,60.28854,22.19004
Maalahti Gålören,62.87513,21.36750
Maalahti Nojärvträsket,62.77873,21.38995
Maalahti Åminne,62.97218,21.48858
Maaninka Kinnulanlahti,63.12189,27.38585
Maaninka Lapinranta,63.13338,27.43301
Maaninka Patalahti E,63.23547,27.18642
Maaninka Patalahti SE,63.22754,27.18736
Maaninka Patalahti W,63.22754,27.17907
Maaninka Pieni Lapinjärvi,63.12179,27.38603
Maarianhamina Strandnäs,60.11303,19.94690
Masku Askainen Livonsaari Samppaanvuori,60.52621,21.75577
Masku Lemu Halkkoaukko Kaidanpää,60.53174,21.93599
Merikarvia Honkajärvi Joutsenjärvi,61.98003,21.58977
Merikarvia Kalfjellin havaintolava,61.83361,21.49256
Mikkeli Hujassuo,61.75632,27.32480
Mikkeli Kenkävero,61.67899,27.28585
Mikkeli Naistinki,61.68258,27.19520
Mikkeli Porrassalmi,61.63244,27.28207
Muhos Matokorpi,64.79546,25.92683
Multia Kiiskilänmäki,62.50089,25.15366
Multia Linna-Peurala Iso-Kaleton,62.47353,24.93908
Multia Valkeisenjärvi,62.53909,24.78538
Muonio Muonionjärvi Puthaanranta,67.96057,23.67098
Muonio Muonionjärvi Rukomasaari,67.97438,23.64035
Mustasaari Svedjehamn,63.35790,21.29123
Mustasaari Söderfjärden,63.01677,21.62717
Mustasaari Vassorfjärden,63.15775,21.99727
Muurame Muuramenlampi,62.13575,25.65732
Mynämäki Mietoinen Kuustonlahti,60.60860,21.84141
Mynämäki Mietoinen Mietoistenlahti Vasikkahaka 1,60.63346,21.84962
Mynämäki Mietoinen Mietoistenlahti Vasikkahaka 2,60.63551,21.84895
Mäntsälä Kilpijärvi,60.70845,25.21873
Mänttä-Vilppula Huhtilammi,62.05251,24.43138
Mänttä-Vilppula Käkijärvi,62.11735,24.51359
Mänttä-Vilppula Mäntänvuori,62.01621,24.64958
Mäntyharju Laijärvi,61.33388,26.90881
Naantali Luolalanjärvi NE,60.46956,22.05013
Naantali Luolalanjärvi W,60.46719,22.04335
Naantali Rymättylä Aasla Karhuvuori,60.28914,21.94497
Nilsiä Pisa,63.21642,28.32503
Nivala Erkkisjärvi,63.97143,25.04800
Nokia Siuro Knuutila,61.46640,23.36335
Noormarkku Inhottu,61.61401,22.14976
Nummi-Pusula Pusulanjärvi,60.44878,23.96882
Nummi-Pusula Savijärvi,60.35401,24.02348
Nurmes Saramo Suojärvi,63.69008,29.25693
Närpiö Piolahti,62.37214,21.36786
Orimattila Mieliässuo,60.82068,25.87781
Orivesi Hirtopohja,61.60952,24.53740
Orivesi Pappilanlahti Pappilanniemi,61.64361,24.36690
Oulainen Likalanjärvi,64.31769,24.70197
Oulu Hietasaari Loistokari,65.02368,25.41374
Oulu Hietasaari Rantakurvi,65.01620,25.41450
Oulu Huutilanlampi,65.06079,25.70057
Oulu Kiviniemi,64.96728,25.48586
Oulu Letonniemi,65.05789,25.39048
Oulu Ylikiiminki Hirvisuo,65.20641,26.28525
Oulu Ylikiiminki Jolosjärvi,65.13430,26.16309
Oulunsalo Akionlahti,64.98723,25.30432
Oulunsalo Kempeleenlahti,64.95142,25.47878
Oulunsalo Koivukari,64.90282,25.38995
Oulunsalo Papinkari,64.90870,25.38096
Outokumpu Laikanlahti,62.69986,29.21099
Outokumpu Sysmäjärvi Jakaranlahti,62.68497,29.08692
Outokumpu Sysmäjärvi Lahdenjoensuu,62.70131,29.05768
Padasjoki Nyystölänlahti,61.31975,25.32441
Paimio Iso-Heikoinen Kuhankuono,60.45328,22.78810
Paimio Paimionlahti,60.39969,22.64288
Paltamo Matalansuo,64.44869,27.65484
Paltamo Mieslahti,64.38210,27.98169
Parainen Nauvo Kirjais,60.11849,21.95233
Parikkala Akonpohja,61.68379,29.68502
Parikkala Kumpu Uukuniemi,61.77044,29.82664
Parikkala Mikkolanniemi Tarassiinlahti,61.68871,29.77383
Parikkala Pohjanranta,61.72192,29.70598
Parikkala Sammallampi,61.52185,29.52600
Parikkala Siikalahti,61.56098,29.56537
Parikkala Siikalahti Kasinniemi,61.56404,29.56041
Parikkala Siikalahti Patotie,61.56563,29.56771
Parikkala Vaaranmäki,61.65739,29.75094
Pedersöre Katternö,63.61295,22.82050
Pedersöre Sandsundsfjärden,63.63324,22.77504
Pelkosenniemi Arvosjoki,67.05932,27.57885
Pelkosenniemi Kairanaapa,67.25767,27.49552
Pelkosenniemi Keminsaaret,67.12733,27.56955
Pelkosenniemi Kilpiaapa,67.10441,27.44974
Pelkosenniemi Kokonaapa,67.08711,27.69524
Pelkosenniemi Sokanaapa,67.16103,27.57046
Pello Paamajärvi,66.64591,23.96657
Pello Pellojärvi Hannunranta,66.75547,24.02925
Pello Pellojärvi Pitkäniemi,66.75351,24.00437
Perho Heikinjärvenneva,63.26154,24.71124
Perho Iso-Valvatti,63.38131,24.63330
Petäjävesi Lahnajärvi,62.36350,25.12662
Petäjävesi Pieni-Hete,62.30959,25.10289
Petäjävesi Piesalankylä,62.21177,25.19048
Petäjävesi Ylä-Kintaus Sallistensuo,62.36982,25.30334
Pieksämäki Tuomiojärvi,62.46832,27.24692
Pieksämäki Vehkalampi,62.29946,27.09605
Pihtipudas Haapavuori,63.35776,25.68368
Pihtipudas Heinäjoki E,63.38432,25.56412
Pihtipudas Heinäjoki W,63.38493,25.55621
Pihtipudas Kelkkämä,63.54647,25.21936
Pihtipudas Kortteinen,63.45804,25.68566
Pihtipudas Putaanlahti,63.37029,25.58763
Pirkkala Pappila,61.46464,23.55682
Polvijärvi Solanlampi,62.75155,29.34522
Pomarkku Isoneva,61.67661,21.96114
Pori Enäjärvi,61.54653,21.60256
Pori Enäjärvi lava,61.54543,21.62243
Pori Eteläranta,61.51590,21.62463
Pori Hilska,61.60755,21.51373
